DATE_STAMP,END_TIME,WHP_BARG,WHT_DEG_C,CORR_OIL_RATE_STBD,CORR_GAS_RES_RATE_MMSCFD,CORR_WTR_RATE_STBD,Universal
28/01/2023 09:30,28/01/2023 14:30,18.8,66,586.9115442,9.707079179,115.370159,B-G-1
07/02/2023 10:00,07/02/2023 15:00,16.8,64.7,422.4199625,8.839184917,13.86738099,B-G-1
20/02/2023 09:30,20/02/2023 14:30,21.2,66.2,391.2147995,5.706994574,6.231931686,B-G-1
09/03/2023 12:00,09/03/2023 15:00,17.4,64.6,286.7013664,5.827806012,8.920007796,B-G-1
17/03/2023 10:00,17/03/2023 13:00,16.8,63.4,240.0694066,5.291908675,48.8428474,B-G-1
02/04/2023 12:00,02/04/2023 16:00,14.8,62.7,239.4186402,3.973294482,70.79288737,B-G-1
29/04/2023 09:30,29/04/2023 14:30,18.7,60.2,97.65836595,1.602869343,52.49765393,B-G-1
11/05/2023 09:30,11/05/2023 15:30,17.5,58.7,26.08742704,1.560980537,52.09018918,B-G-1
13/05/2023 10:00,13/05/2023 16:00,16,58,143.303888,1.77884145,164.2904831,B-G-1
29/05/2023 10:00,29/05/2023 14:00,17,40,6.461917333,0.000363959,15.54,B-G-1
14/01/2018 09:00,14/01/2018 14:00,30.5,64.5,714.1745441,1.593729005,41.35678081,B-G-10
11/02/2018 09:00,11/02/2018 14:00,30.5,64.5,714.1745441,1.593729005,41.35678081,B-G-10
03/03/2018 10:30,03/03/2018 15:30,24.5,56,314.6725554,0.573905981,333.2910539,B-G-10
13/03/2018 09:00,13/03/2018 15:00,28,68,695.0590444,1.308763942,496.7363915,B-G-10
12/04/2018 09:30,12/04/2018 15:30,27,63,490.3046456,0.422078156,58.06952961,B-G-10
29/04/2018 14:00,29/04/2018 20:00,110,56.5,0,4.46018148,0.891076372,B-G-10
11/05/2018 09:00,11/05/2018 15:00,74,67,4.838967093,3.904445456,508.1486506,B-G-10
16/05/2018 09:00,16/05/2018 15:00,69,67,1602.452168,9.935116688,202.0890556,B-G-10
18/05/2018 09:00,18/05/2018 15:00,64,66,283.7990261,3.34743395,369.0010482,B-G-10
21/05/2018 10:00,21/05/2018 16:00,62,67,338.2910351,2.928661823,358.9928416,B-G-10
28/05/2018 09:00,28/05/2018 15:00,57,71,503.7715097,2.638287388,438.4536556,B-G-10
03/06/2018 09:30,03/06/2018 15:30,50,70,476.5987098,2.596637401,620.2453766,B-G-10
26/06/2018 09:00,26/06/2018 15:00,45.5,72,486.6714017,2.657540406,636.7058838,B-G-10
10/07/2018 08:00,10/07/2018 14:00,45,70,234.5387082,1.918773551,997.4418507,B-G-10
18/07/2018 10:00,18/07/2018 15:00,41,72,428.9401847,1.706690808,459.8072119,B-G-10
23/07/2018 10:00,23/07/2018 11:00,39,73,594.4868582,1.980630122,560.4511045,B-G-10
11/08/2018 10:00,11/08/2018 16:00,43,70,648.3208429,1.277992379,461.3680248,B-G-10
16/08/2018 10:00,16/08/2018 15:00,39,68,418.5652825,1.291920243,726.8356761,B-G-10
30/08/2018 12:00,30/08/2018 15:00,42,71,423.5723822,1.370877551,766.6538491,B-G-10
08/09/2018 10:00,08/09/2018 16:00,30,63.8,574.0757502,0.872540112,497.7372135,B-G-10
23/09/2018 09:30,23/09/2018 14:30,39.5,71,561.7656841,1.612228283,730.5370658,B-G-10
05/10/2018 10:00,05/10/2018 15:00,26,58,487.4213448,0.430788742,56.86663116,B-G-10
13/10/2018 09:30,13/10/2018 14:30,40,71,473.2167914,1.587556543,614.1413128,B-G-10
19/10/2018 09:00,19/10/2018 15:00,29,58,375.3524536,0.872197851,211.4685051,B-G-10
08/11/2018 10:00,08/11/2018 15:00,29,67,383.1195493,1.353257409,788.1038349,B-G-10
03/12/2018 09:30,03/12/2018 14:30,19,59.5,329.3499197,1.31623393,346.7686677,B-G-10
18/12/2018 08:30,18/12/2018 14:30,24.5,66,246.068553,0.830046348,317.5195028,B-G-10
01/01/2019 09:00,01/01/2019 15:00,24,54,386.2419887,0.661501334,174.3847525,B-G-10
06/01/2019 10:30,06/01/2019 15:30,19.5,62,507.9659246,0.348817747,286.5567132,B-G-10
31/01/2019 09:00,31/01/2019 15:00,26,75,349.3711489,1.461913997,1491.074499,B-G-10
07/02/2019 08:30,07/02/2019 14:30,21,62,364.9880517,0.334069549,254.6579734,B-G-10
15/02/2019 09:00,15/02/2019 15:00,17.2,55,170.5908712,0.423089332,414.6800278,B-G-10
23/03/2019 09:30,23/03/2019 15:30,22.5,72,306.0045808,1.327604232,977.4500508,B-G-10
25/03/2019 09:00,25/03/2019 15:00,19,59.8,632.5280576,1.175595424,75.33040303,B-G-10
01/04/2019 09:00,01/04/2019 15:00,19.4,58.5,284.1916226,0.533473678,152.9944042,B-G-10
06/04/2019 09:00,06/04/2019 15:00,20.3,55,361.2091617,0.179384552,82.92175903,B-G-10
16/04/2019 09:00,16/04/2019 15:00,21,57,75.2543269,0.293339887,357.75234,B-G-10
23/04/2019 09:00,23/04/2019 15:00,17,56,216.8395872,0.168587768,277.3609688,B-G-10
23/04/2019 09:30,23/04/2019 15:30,17.2,53,98.41358562,0.161591329,409.7169445,B-G-10
01/05/2019 09:00,01/05/2019 15:00,17,56,216.8395872,0.168587768,277.3609688,B-G-10
22/05/2019 09:00,22/05/2019 15:00,17,55,125.2122928,0.140794893,557.4114396,B-G-10
23/06/2019 08:30,23/06/2019 14:30,20.6,50,94.37529075,0.006410195,129.96,B-G-10
11/07/2019 09:00,11/07/2019 15:00,23,48,72.54698989,0.005141734,92.4,B-G-10
16/07/2019 09:00,16/07/2019 15:00,100,65,8.410815839,4.453164231,433.4873303,B-G-10
23/10/2020 11:00,23/10/2020 16:00,61,59,0,0.939856656,850.7583956,B-G-10
23/08/2021 15:00,23/08/2021 21:00,50,44.7,2.061569861,1.749852484,40.88479619,B-G-10
25/08/2021 09:30,25/08/2021 15:30,64.3,50.8,934.0151323,1.178569176,51.34420487,B-G-10
25/08/2021 22:30,26/08/2021 04:30,42.5,41,1192.664381,0.522721681,0.284977479,B-G-10
27/08/2021 09:30,27/08/2021 15:30,65.5,51.3,1156.045805,0.908116642,12.46920011,B-G-10
07/09/2021 09:30,07/09/2021 15:30,75,57.7,850.6151022,1.449487059,51.21234401,B-G-10
14/09/2021 09:00,14/09/2021 15:00,66.5,62.3,1132.618327,2.103898677,297.8954355,B-G-10
