Well,MDATE,Universal,START_TIME,WHP,WHT,OIL_per_day,GAS_per_day,WATER_per_day
B-G-1,08/01/1986,B-G-1,,,,0,0,1.35483871
B-G-1,09/01/1986,B-G-1,,,,322.5806452,0.64516129,12.03225806
B-G-1,10/01/1986,B-G-1,,,,666.6666667,0.666666667,23.5
B-G-1,11/01/1986,B-G-1,,,,645.1612903,0.967741935,157.516129
B-G-1,12/01/1986,B-G-1,,,,666.6666667,1.333333333,161.1666667
B-G-1,01/01/1987,B-G-1,,,,322.5806452,0.64516129,111.9032258
B-G-1,02/01/1987,B-G-1,,,,322.5806452,0.322580645,134.7419355
B-G-1,03/01/1987,B-G-1,,,,357.1428571,0.714285714,148.3214286
B-G-1,04/01/1987,B-G-1,,,,322.5806452,0.64516129,116.7741935
B-G-1,05/01/1987,B-G-1,,,,333.3333333,0.666666667,126.0333333
B-G-1,06/01/1987,B-G-1,,,,645.1612903,0.64516129,146.1290323
B-G-1,07/01/1987,B-G-1,,,,666.6666667,0.666666667,143.9
B-G-1,08/01/1987,B-G-1,,,,645.1612903,0.64516129,119.6129032
B-G-1,09/01/1987,B-G-1,,,,967.7419355,0.967741935,170.483871
B-G-1,10/01/1987,B-G-1,,,,1000,1,270.0666667
B-G-1,11/01/1987,B-G-1,,,,967.7419355,0.64516129,272.6129032
B-G-1,12/01/1987,B-G-1,,,,666.6666667,0.333333333,308.1333333
B-G-1,01/01/1988,B-G-1,,,,645.1612903,0.322580645,261.1612903
B-G-1,02/01/1988,B-G-1,,,,645.1612903,0.322580645,257
B-G-1,03/01/1988,B-G-1,,,,689.6551724,0.689655172,333.9310345
B-G-1,04/01/1988,B-G-1,,,,645.1612903,0.64516129,281.9032258
B-G-1,05/01/1988,B-G-1,,,,666.6666667,1,266.5
B-G-1,06/01/1988,B-G-1,,,,645.1612903,1.290322581,294.0645161
B-G-1,07/01/1988,B-G-1,,,,666.6666667,1.333333333,238.6333333
B-G-1,08/01/1988,B-G-1,,,,645.1612903,1.290322581,279.2258065
B-G-1,09/01/1988,B-G-1,,,,645.1612903,0.967741935,336.7741935
B-G-1,10/01/1988,B-G-1,,,,666.6666667,0.333333333,414.5
B-G-1,11/01/1988,B-G-1,,,,645.1612903,0.322580645,439.8709677
B-G-1,12/01/1988,B-G-1,,,,666.6666667,0.333333333,371.4666667
B-G-1,01/01/1989,B-G-1,,,,645.1612903,0.64516129,496.2903226
B-G-1,02/01/1989,B-G-1,,,,645.1612903,0.322580645,420.9677419
B-G-1,03/01/1989,B-G-1,,,,714.2857143,0.714285714,564.6785714
B-G-1,04/01/1989,B-G-1,,,,322.5806452,0.64516129,399.5483871
B-G-1,05/01/1989,B-G-1,,,,666.6666667,0.666666667,684.5666667
B-G-1,06/01/1989,B-G-1,,,,645.1612903,0.967741935,730.3548387
B-G-1,07/01/1989,B-G-1,,,,666.6666667,1.333333333,814.0333333
B-G-1,08/01/1989,B-G-1,,,,645.1612903,1.290322581,840.7096774
B-G-1,09/01/1989,B-G-1,,,,645.1612903,1.290322581,976.7419355
B-G-1,10/01/1989,B-G-1,,,,666.6666667,1.333333333,1001.1
B-G-1,11/01/1989,B-G-1,,,,322.5806452,1.612903226,876.5483871
B-G-1,12/01/1989,B-G-1,,,,666.6666667,1.333333333,857
B-G-1,01/01/1990,B-G-1,,,,645.1612903,1.290322581,797.1935484
B-G-1,02/01/1990,B-G-1,,,,322.5806452,0.967741935,771.5806452
B-G-1,03/01/1990,B-G-1,,,,714.2857143,1.071428571,925.9642857
B-G-1,04/01/1990,B-G-1,,,,322.5806452,0.967741935,822.7419355
B-G-1,05/01/1990,B-G-1,,,,333.3333333,1.333333333,946.1666667
B-G-1,06/01/1990,B-G-1,,,,322.5806452,0.64516129,819
B-G-1,07/01/1990,B-G-1,,,,333.3333333,1.333333333,887.8
B-G-1,08/01/1990,B-G-1,,,,322.5806452,1.290322581,977.6451613
B-G-1,09/01/1990,B-G-1,,,,967.7419355,1.290322581,1735.096774
B-G-1,10/01/1990,B-G-1,,,,333.3333333,1.333333333,1469.766667
B-G-1,11/01/1990,B-G-1,,,,322.5806452,0.967741935,1151.451613
B-G-1,12/01/1990,B-G-1,,,,333.3333333,1,304.5
B-G-1,01/01/1991,B-G-1,,,,322.5806452,0.967741935,680.9354839
B-G-1,02/01/1991,B-G-1,,,,322.5806452,0.967741935,1099.645161
B-G-1,03/01/1991,B-G-1,,,,357.1428571,1.428571429,1443.071429
B-G-1,04/01/1991,B-G-1,,,,322.5806452,1.935483871,1349.806452
B-G-1,05/01/1991,B-G-1,,,,333.3333333,2,1131.066667
B-G-1,06/01/1991,B-G-1,,,,322.5806452,1.612903226,835.9032258
B-G-1,07/01/1991,B-G-1,,,,333.3333333,1.666666667,1119.3
B-G-1,08/01/1991,B-G-1,,,,322.5806452,1.612903226,1314.096774
B-G-1,09/01/1991,B-G-1,,,,322.5806452,1.612903226,1342.806452
B-G-1,10/01/1991,B-G-1,,,,333.3333333,2,1435.566667
B-G-1,11/01/1991,B-G-1,,,,322.5806452,1.290322581,1242.548387
B-G-1,12/01/1991,B-G-1,,,,333.3333333,1.666666667,1173.6
B-G-1,01/01/1992,B-G-1,,,,322.5806452,1.612903226,973.6774194
B-G-1,02/01/1992,B-G-1,,,,645.1612903,1.290322581,860.1935484
B-G-1,03/01/1992,B-G-1,,,,689.6551724,1.034482759,1313.793103
B-G-1,04/01/1992,B-G-1,,,,322.5806452,0.967741935,944.5806452
B-G-1,05/01/1992,B-G-1,,,,333.3333333,1,954.1
B-G-1,06/01/1992,B-G-1,,,,645.1612903,0.967741935,1027.774194
B-G-1,07/01/1992,B-G-1,,,,666.6666667,1,1092.966667
B-G-1,08/01/1992,B-G-1,,,,645.1612903,1.290322581,1192.806452
B-G-1,09/01/1992,B-G-1,,,,645.1612903,1.290322581,1126.193548
B-G-1,10/01/1992,B-G-1,,,,666.6666667,1,1188.233333
B-G-1,11/01/1992,B-G-1,,,,645.1612903,0.967741935,1058.677419
B-G-1,12/01/1992,B-G-1,,,,666.6666667,1,1115.833333
B-G-1,01/01/1993,B-G-1,,,,645.1612903,0.64516129,1286.290323
B-G-1,02/01/1993,B-G-1,,,,322.5806452,0.64516129,1233.903226
B-G-1,03/01/1993,B-G-1,,,,357.1428571,1.071428571,1632.464286
B-G-1,04/01/1993,B-G-1,,,,322.5806452,0.967741935,1590.096774
B-G-1,05/01/1993,B-G-1,,,,333.3333333,0.666666667,1826.333333
B-G-1,06/01/1993,B-G-1,,,,322.5806452,0.967741935,1815.387097
B-G-1,07/01/1993,B-G-1,,,,333.3333333,0.666666667,1933.966667
B-G-1,08/01/1993,B-G-1,,,,322.5806452,0.64516129,1655.870968
B-G-1,09/01/1993,B-G-1,,,,322.5806452,1.290322581,1751.645161
B-G-1,10/01/1993,B-G-1,,,,666.6666667,1.333333333,1487.4
B-G-1,11/01/1993,B-G-1,,,,645.1612903,0.967741935,1546.903226
B-G-1,12/01/1993,B-G-1,,,,333.3333333,1,1861.866667
B-G-1,01/01/1994,B-G-1,,,,645.1612903,0.967741935,2008.870968
B-G-1,02/01/1994,B-G-1,,,,322.5806452,0.967741935,1781.451613
B-G-1,03/01/1994,B-G-1,,,,357.1428571,1.071428571,1749.25
B-G-1,04/01/1994,B-G-1,,,,322.5806452,0.322580645,1202.451613
B-G-1,05/01/1994,B-G-1,,,,666.6666667,1,2125.566667
B-G-1,06/01/1994,B-G-1,,,,322.5806452,0.967741935,1636.935484
